start_secs	end_secs	participant	utterance
233.143	234.508	B	interactive view .
235.607	236.001	A	look .
236.212	237.816	A	it says right here .
238.055	243.091	A	says like , the interactive view into the abstract view .
243.345	246.749	A	and then it has abstract view and then it says what it does .
245.357	246.693	B	oh yeah this
247.540	249.326	B	view you can not build
249.594	253.968	B	(reading)
258.445	259.838	B	oh !
260.274	262.679	B	oh (oops) .
264.578	267.012	B	okay , now i get it , oh yeah i'm here .
268.378	268.983	B	okay .
269.391	270.094	A	wait what ?
270.755	272.908	B	so we need to i'm erasing these  .
273.217	273.920	B	i'm sorry .
273.273	273.850	A	yeah .
274.147	275.244	A	yeah i'll erase it .
274.231	275.286	B	and we just start again .
275.807	277.143	A	(umm) i don't know .
276.369	276.890	B	(uhh)
277.636	280.379	A	so we will erase all of them entirely ?
279.661	280.266	B	yeah .
282.589	283.785	A	right now i want to erase .
284.911	287.372	B	i'm at the black right now so got to chill .
288.682	289.329	B	chill .
289.765	290.876	A	how do you erase ?
291.101	292.395	B	you just hold it .
293.017	295.113	B	and you get the like the little erase thingy .
297.012	299.431	B	wait i can't do anything until it stops ?
300.023	303.568	B	like when she oh so when she do something it stops for me ?
310.337	312.335	B	oh , seriously ?
313.390	315.106	B	she sees not what i see ?
323.577	325.926	B	wait it's not erasing for other .
328.504	330.782	B	oh that explains everything .
332.780	333.990	A	it does .
335.607	337.746	B	wait so her mountains are not the same ?
347.709	348.806	B	okay .
348.074	349.200	A	okay .
355.180	355.827	B	what ?
365.081	369.983	A	oh , so like when i have this you have this when i have this you have this ?
365.145	366.577	B	oh .
369.336	371.816	B	so when i have the mountains you have the black .
371.559	372.361	A	exactly .
372.107	373.584	B	when you have the mountains i have the black .
372.361	373.792	A	oh , okay .
374.514	376.329	B	that's why we have to talk , okay .
376.638	377.679	B	now we get it .
377.482	385.094	A	i think i'm gonna put (umm) , mount zermatt to the one above it .
385.179	386.320	B	mount zurich ?
387.671	388.619	A	no like
388.444	391.243	B	mount luzern to mount zurich ?
392.723	393.159	B	oh .
392.765	395.972	A	no mount zermatt to the one above it .
396.999	398.673	B	yeah , to mount luzern .
399.123	400.375	A	luzern .
400.361	401.782	B	luzern yeah okay do it .
401.247	401.979	A	yeah .
402.784	403.726	A	wait no .
405.921	406.512	A	okay .
406.470	408.748	B	we should do all the big things .
412.617	413.517	B	are you done ?
413.899	414.518	A	yeah .
414.743	415.250	B	okay .
417.022	418.204	B	not working for me so .
420.681	426.829	A	i'm gonna do mount zurich to mount davos .
426.196	427.011	B	mount
428.054	429.742	B	(due to pronunciation) zurich where is zurich  ?
431.121	437.101	A	it's the one above mount luzern , i don't know how to say it .
436.173	438.086	B	that's zurich , mount zurich .
438.353	439.647	A	it is ?
439.043	439.633	B	zurich .
439.844	440.491	B	i don't know .
440.633	441.927	B	that one right , this one .
442.124	442.800	B	the top one .
442.870	443.334	A	yeah .
443.517	444.713	B	okay , so do it .
444.052	445.655	A	to mount davos .
445.358	445.717	B	yeah .
446.277	447.683	A	because it's big .
449.625	450.638	A	now it's your turn .
450.834	453.085	B	okay , so i see , i see what you've done .
453.859	454.548	B	okay .
454.858	455.290	B	okay .
456.509	459.307	B	yeah i'm gonna erase , wait now i don't wanna do anything .
460.848	462.496	B	i'm gonna erase mount bern .
462.697	463.148	B	okay ?
463.610	464.428	A	which one ?
465.608	466.556	A	oh yeah yeah .
466.580	467.599	B	i can't erase .
468.358	470.848	A	yeah you just click on it and erase .
472.175	472.827	B	i doubled .
473.432	476.444	B	i have the erase thing but it is not erasing .
485.932	489.915	B	oh you have to erase that , so like that ?
490.946	491.622	B	oh .
491.752	492.416	A	oh .
494.390	494.929	A	(oops)
496.477	498.397	B	oh, okay it's your turn .
498.081	500.377	A	oh okay (umm) which one should i do ?
499.334	501.586	B	wait erase mount bern .
502.654	503.911	B	to mount luzern .
503.816	504.456	A	okay .
504.752	508.463	B	i don't know why but it doesn't erase it's like wasting money kind of .
507.917	508.510	A	okay .
509.374	512.338	B	and now connect mount bern to mount zurich .
514.199	515.895	B	i don't want to really do anything .
516.191	517.135	A	exactly .
517.581	521.652	A	oh what about , (umm) mount bern to mount interlaken .
521.813	522.631	B	yeah do that .
525.263	527.041	A	oh no i can't .
526.543	527.006	B	oh .
528.025	531.178	B	what if you did mount neuchatel .
531.367	531.996	A	which one
531.441	533.110	B	the one here this one .
533.525	535.244	B	the gold mine near the cow .
536.430	539.548	A	(neucha-) what ?
537.201	539.512	B	the one starting with an n .
540.046	543.566	A	yes but i can't because there is no start , there .
544.295	545.635	B	yeah , can't you make it ?
545.777	547.851	A	no , because there is no start .
549.287	551.420	A	so it have to be from here or here .
552.227	553.104	B	(umm)
552.511	556.648	A	what about mount davos to mount , saint gallen ?
558.644	562.616	B	because what if , you did if we could do it ?
562.497	566.065	A	what about mount (umm) davos to mount gallen ?
566.207	566.645	B	mount
568.210	569.822	B	oh mount davos
570.095	571.849	A	yeah to mount gallen .
570.356	571.885	B	to mount gallen yeah do that .
574.269	575.335	B	okay my turn .
576.331	581.147	B	oh i'm erasing mount , davos to mount zurich , because it is too much .
582.403	584.786	A	no because then it is not gonna be together .
585.106	586.514	B	yeah , because then i just do
586.665	588.224	B	mount zurich to mount .
586.671	588.295	A	oh yeah .
588.786	589.284	B	(uhh)
589.378	591.382	B	s t gallen yeah see .
589.390	590.315	A	gallen .
592.034	592.625	B	okay .
592.958	595.839	B	how can we oh yeah we can erase that i remember .
596.135	597.096	B	isn't this great .
597.152	599.013	B	okay so i'm erasing what we did .
599.594	600.519	B	okay i can't .
600.353	602.842	A	you erase the saint gallen to mount davos .
604.518	605.704	A	just redo it .
604.613	605.716	B	where can i
607.280	609.248	B	wait i can't erase anywhere now .
622.395	623.817	B	can i break this one ?
625.418	628.921	B	okay , now , mount zurich to mount gallen .
629.561	630.676	B	gallen do that one .
631.305	634.244	A	what about mount gallen to mount davos ?
633.343	634.351	B	yes do that .
634.611	636.093	B	i just had to erase .
636.234	637.100	A	okay yeah .
637.195	638.190	A	now , it's your turn .
637.693	638.155	B	you did it ?
638.345	638.878	B	okay .
638.347	638.854	A	uh-huh .
639.340	643.347	B	now , i'm doing mount davos to mount zermatt , okay ?
643.500	644.686	A	okay .
645.350	645.990	B	yes or no ?
646.014	646.405	A	yeah .
646.689	647.804	B	okay , oh wait no .
648.527	649.084	B	done .
649.537	651.860	B	now we've got all those square there , now what we do ?
654.113	656.285	B	oh no , now what i do (umm) .
655.985	657.858	A	you can do (umm) do
658.320	661.829	A	mount zermatt to mount montreux .
660.845	661.248	B	yep .
661.829	662.908	A	i don't know how to say that .
661.853	662.505	B	done .
662.884	663.619	B	your turn .
664.601	665.517	A	montreux .
665.469	667.224	B	okay i look i think looks good .
667.402	668.089	A	(umm)
667.473	668.978	B	now do mount
669.453	670.757	B	neuchatel
671.029	671.812	B	neuchatel .
671.958	674.199	A	i can't go there because there is no track .
674.673	676.143	A	so i can do mount
676.553	679.996	A	montreux to mount neuchatel .
679.391	679.925	B	yeah .
682.191	683.365	A	and what else ?
683.365	684.835	B	and then what about
684.171	686.993	A	to mount basel and then you can do to mount
686.898	687.336	B	yeah .
687.218	688.285	A	bern and then
687.621	688.422	B	okay do it .
688.356	694.009	A	to mount yeah and then now , do it from mount basel to mount bern .
694.564	697.800	A	and then from mount bern to mount interlaken .
698.025	700.136	A	(stutter) we have all of them connected .
700.112	700.776	B	here .
701.100	702.001	A	and then
701.373	701.989	B	here .
702.392	703.424	A	yeah and now
702.819	703.578	B	your turn .
704.265	705.403	A	bern to
705.356	705.937	B	your turn .
706.186	708.059	A	oh no we already have ten .
711.851	712.978	A	(uh-uh)
713.902	716.735	B	we i know i know i know i know i kno- kno- kno- kno- know .
718.393	719.632	A	oh yeah we are done .
719.715	720.284	B	no !
719.751	722.157	A	because look , this connects so this
721.209	723.888	B	no because we need mount bern to mount luzern
725.675	726.434	A	what ?
725.830	726.375	B	yeah .
726.932	728.390	A	where is mount luzern ?
726.956	728.200	B	we need mount bern .
728.438	730.085	B	to mount luzern the the one in
730.405	732.468	B	mount luzern mount z .
732.953	736.758	B	the one with the l u z e r n .
735.851	739.689	A	no because you know why , because it comes from her and then it goes here .
740.353	741.052	A	wait .
740.365	742.463	B	wait do we have to connect this one , yeah .
743.962	747.519	A	no because look it comes from down right here from mount
745.717	746.310	B	why ?
750.341	752.265	A	let's go no look can i show you why ?
751.515	752.060	B	1 .
752.570	753.020	B	why ?
752.581	753.091	A	so
753.601	755.628	A	from mount zermatt it goes up
755.996	758.137	A	up , side , down .
757.046	758.279	B	oh yeah okay ready .
758.421	759.500	A	set , go .
758.563	759.547	B	set , go .
766.436	767.846	A	6 francs ?
777.383	778.047	A	okay .
778.995	779.362	B	here ?
779.730	781.461	A	so who starts ?
782.065	782.480	B	you .
783.405	783.915	A	okay .
784.306	785.574	A	which one should we do ?
786.061	787.756	A	should we start with the side now ?
788.681	791.265	B	let's just start with mount , neuchatel .
791.550	792.344	A	mount , what ?
792.332	792.996	B	neuchatel .
793.110	793.738	A	okay .
794.461	795.256	A	go where ?
794.553	795.291	B	middle .
795.837	797.876	A	should i go to mount montreux ?
798.444	799.854	B	sure , just do it .
800.068	802.071	A	for downwards .
800.613	805.156	B	i think our problem was mounts interlaken and mount bern .
805.132	805.998	A	exactly .
806.187	809.625	A	now should i do from mount neuchatel to mount basel ?
810.372	810.976	B	no .
811.190	811.877	B	do mount
811.626	813.285	A	(stutter) look
812.266	814.340	B	through to interlaken maybe .
814.992	818.169	B	because we did interlaken at the last , so maybe if we do it before .
815.644	816.403	A	oh yeah .
819.384	820.732	A	this one here ?
821.032	823.758	B	yeah mount turn to interlaken .
824.057	828.162	A	wait so i'm doing mount montreux to interlaken ?
827.742	828.431	B	yeah .
828.251	828.851	A	okay .
829.120	830.348	A	it's your turn .
829.495	829.872	B	because it's
830.139	832.565	B	it's not it's at 4 francs , oh jesus .
832.938	834.862	B	it's expensive here .
835.417	839.224	A	oh i never knew that this was what it's , oh now i get it .
839.523	840.272	A	yeah .
839.817	841.201	B	i'm going to mount bern .
841.810	844.496	A	okay , go to mount bern from mount interlaken .
841.841	842.219	B	okay .
845.095	845.904	A	4 francs !
846.443	846.953	B	okay .
847.042	848.181	A	we've already got
848.480	849.080	B	3 .
849.529	850.428	B	tracky , wait .
850.817	852.045	A	no we have
852.137	854.294	B	ok now so what if i went
853.395	856.420	A	you have 12 francs right you've already spended 12 .
855.471	856.100	B	your turn .
857.469	860.135	A	(umm)
860.525	862.801	A	what about mount bern to mount luzern ?
870.760	874.324	A	mount bern to mount luzern .
872.048	874.265	B	no do mount basel to mount zurich .
875.354	879.860	A	oh yeah that's right , now mount zurich to mount luzern .
879.067	879.918	B	luzern .
879.860	880.536	A	yeah .
881.692	882.413	A	now it's your turn .
881.842	882.663	B	yes , okay .
883.023	884.714	B	we've got this , this time .
883.951	886.318	A	oh we spending a lot money .
886.917	887.636	B	no we're not .
887.606	888.833	A	yes we are .
888.698	889.836	B	okay your turn .
889.716	890.795	A	oh mount
890.076	890.974	B	we only have
891.244	891.993	B	one more
892.742	893.581	B	basically .
892.772	893.670	A	two more .
893.973	894.408	B	yeah !
894.722	896.205	B	and we'll have 9 francs .
896.819	897.283	B	10 .
898.152	898.736	B	we'd do it .
899.374	904.826	A	okay so now , i go to mount from mount davos to mount gallen .
904.235	904.886	B	gallen do it .
905.988	908.609	A	and now to , from mount
906.932	908.594	B	ready submit no submit .
909.313	910.392	A	no because we are
909.763	910.225	B	yeah !
912.255	912.776	B	yeah .
913.196	914.514	A	okay submit .
913.660	914.544	B	ready , set .
920.528	921.696	A	7 francs .
923.643	926.834	B	wait i don't get what we're doing wrong , 7 francs .
932.442	935.318	A	okay let's try again .
933.700	935.962	B	wait but i don't get it with the francs .
936.291	937.699	B	we spent too much francs ?
937.789	939.781	A	how many francs can you spend ?
947.753	948.547	A	wait so we
949.011	949.865	A	what ?
950.000	951.692	A	six minus something .
952.609	953.852	B	six .
965.009	967.033	A	okay (umm) , which one should i do ?
967.665	970.430	A	what about mount montreux to mount zermatt ?
970.730	974.729	B	wait one second we are supposed to spend more than 7 francs ?
974.431	976.349	A	less than seven no wait no .
983.284	984.797	B	so we can spend more ?
983.284	984.841	A	oh !
986.153	987.975	A	no , we have to spend less .
990.746	991.315	B	spend less .
991.912	995.688	A	okay what about mount montreux to mount zermatt ?
997.948	998.697	B	zermatt ?
998.877	999.476	A	yeah .
998.982	1001.243	B	oh we can send our thingies here .
1002.307	1002.726	A	what ?
1002.412	1003.610	B	we can send it here .
1005.880	1006.898	B	okay .
1007.059	1007.605	B	(umm)
1007.081	1008.775	A	okay i'm gonna do this .
1008.593	1010.862	B	okay do it , let me see what you're doing .
1011.377	1011.991	B	okay .
1012.234	1013.118	A	and now what ?
1013.567	1015.694	A	mount zermatt to mount davos ?
1015.305	1016.698	B	yeah okay .
1018.698	1019.626	B	okay .
1019.117	1023.446	A	i see , that was not very expensive it was 2 and 3 so we
1022.877	1023.491	B	there .
1023.775	1024.509	B	i did that .
1024.165	1025.573	A	(uhh) okay , yeah yeah .
1025.796	1031.458	A	what about mount zurich to mount luzern and then you do it to mount bern ?
1030.814	1031.607	B	okay go .
1032.490	1033.523	A	this , oh i can
1032.759	1033.403	B	one .
1033.643	1034.736	A	and then this .
1034.197	1034.751	B	two .
1036.264	1036.698	B	okay .
1036.938	1038.331	B	so i'm gonna do
1038.977	1040.955	A	mount bern to mount basel yeah .
1041.059	1043.052	A	and then mount neuchatel .
1043.261	1045.134	B	okay and do that , interlaken .
1045.478	1047.156	A	interlaken and we're done .
1046.122	1047.066	B	come on .
1047.290	1047.543	B	yeah .
1048.114	1048.609	B	submit ?
1048.788	1049.357	A	submit .
1049.357	1049.657	B	go .
1052.831	1054.209	A	3 francs !
1055.557	1056.950	A	we're so good !
1057.294	1058.343	A	we're getting better .
1058.690	1060.337	B	that was better that was really good .
1060.487	1062.000	B	so now let's go
1060.517	1061.880	A	(umm)
1062.973	1070.095	A	from , what about mount neuchatel to mount basel and then mount zurich to  , mount gallen okay
1068.668	1069.133	B	yeah .
1069.834	1070.125	B	go .
1073.800	1076.412	A	oh that was expensive , that was expensive .
1074.001	1074.976	B	where do i go ?
1074.976	1075.798	B	where do
1076.615	1077.364	B	where do i go ?
1077.678	1078.322	A	i don't know .
1078.742	1080.090	A	that was 4 and 5 .
1079.565	1081.557	B	i'm doing a circle okay ?
1081.842	1082.396	B	one .
1082.666	1083.025	B	two .
1083.729	1085.272	B	let's just do a big circle .
1085.360	1087.727	A	that would , i think we already spended more .
1088.266	1089.749	A	that was 5 and 4 .
1092.453	1093.142	B	just do it .
1093.471	1095.583	B	mount davos to mount zermatt .
1096.257	1098.279	A	and then to mount luzern ?
1097.905	1098.384	B	yeah .
1098.864	1099.238	B	no .
1099.628	1100.032	B	okay .
1101.563	1104.244	A	and then mount bern mount interlaken .
1104.184	1104.963	B	and last one .
1105.053	1106.715	A	yeah we've spended more .
1105.098	1106.611	B	this is so expensive .
1113.603	1115.355	A	9 francs .
1113.633	1114.532	B	(stutter)
1115.992	1116.968	A	the difference .
1116.968	1118.471	A	is only 9 francs .
1117.033	1118.411	B	oh i know what we are doing .
1118.666	1119.474	B	i know what we are doing .
1120.476	1120.851	B	ready ?
1121.285	1121.720	B	go .
1122.484	1123.352	B	go mount
1123.607	1127.157	B	neuchatel to mount basel to mount zurich to mount gallen to mount davos
1127.365	1128.204	B	mount zermatt
1128.024	1130.316	A	no because remember that was so expensive .
1128.503	1129.372	B	mount neuchatel
1130.615	1131.499	A	so i should go to
1131.619	1136.340	B	no , mount zermatt to mount luzern mount bern to mount interlaken
1131.619	1132.877	A	from mount neuchatel
1136.257	1138.722	A	wait what mount zermatt to mount luzern
1136.490	1137.179	B	and then mount
1137.883	1138.593	B	just do
1138.916	1141.253	B	something and then i'll tell you what i'm going to do .
1141.341	1144.172	A	okay i think i'm going to do this to this .
1144.367	1146.059	B	oh my god i'm scared , okay .
1147.015	1147.403	B	okay .
1147.034	1148.342	A	and this to this .
1149.404	1149.865	B	okay .
1150.341	1151.719	A	that wasn't expensive .
1152.003	1154.325	A	we already used five .
1155.868	1156.467	B	go .
1155.928	1159.024	A	6 7 8 9 , it's 9 francs .
1159.625	1160.229	A	(umm)
1164.741	1165.595	B	okay .
1165.924	1167.016	B	bold move there .
1169.789	1172.035	B	i'm gonna go like that , i don't know .
1172.140	1173.893	A	and now , here .
1174.908	1178.533	B	what if we did mount interlaken , to mount bern .
1174.908	1176.497	A	we're done , submit .
1182.232	1182.577	B	come on .
1182.232	1184.225	A	let's just submit this one .
1190.719	1191.393	A	3 !
1193.557	1195.219	A	are we close !
1194.156	1196.193	B	okay let's do our idea again .
1203.772	1205.734	A	how do we look at that ?
1204.551	1205.899	B	oh my god okay .
1206.171	1207.025	B	i know what to do .
1207.684	1208.792	B	see , we
1209.372	1212.712	B	we're almost there when we did price 25 .
1212.772	1213.446	A	(umm)
1213.686	1214.509	A	it changed .
1214.962	1215.905	A	this changed .
1216.714	1218.152	A	there's trees in it now .
1221.446	1226.419	B	it's fine , okay so go to the little (umm) thing here .
1226.808	1227.302	A	what ?
1226.823	1228.800	B	not the i on the other side .
1229.048	1229.962	A	the two ?
1230.981	1231.834	B	no this .
1232.059	1232.688	B	this .
1232.239	1232.913	A	what ?
1232.868	1234.650	B	the little cyclope thing .
1235.292	1236.041	B	down here .
1236.266	1237.464	B	do you see the i ?
1237.868	1238.288	B	the i ?
1238.345	1239.435	A	the i , okay .
1239.127	1240.288	B	it's on the other side .
1240.849	1242.586	A	other side ?
1246.523	1247.557	A	(umm)
1246.613	1247.377	B	only me ?
1249.085	1256.463	B	okay let's do this thing that we did , mount neuchatel to mount basel to mount zurich to mount gallen to mount davos .
1254.066	1255.279	A	mount what , what ?
1255.689	1256.833	A	mount neuchatel ?
1256.523	1259.009	B	you know or circle kind of thing ?
1258.290	1259.084	A	yes .
1259.503	1260.761	B	and then
1259.698	1261.480	A	i think i'm gonna start differently .
1262.303	1262.857	A	look .
1263.336	1264.340	A	i'm starting .
1267.500	1268.474	A	how much was that ?
1268.781	1269.380	B	it's 3 .
1270.983	1272.511	A	what about this , how much was it ?
1274.907	1275.986	B	it's okay , it's okay .
1276.090	1277.950	A	we're already spending 6 .
1282.324	1283.732	A	we already did , 8 ?
1283.986	1285.709	A	i don't know how many we are spending .
1286.877	1287.956	B	go to mount , okay .
1288.573	1289.636	B	go to mount basel .
1290.041	1291.958	A	that's , it's expensive .
1292.078	1293.081	B	just do it .
1292.227	1293.336	A	you can't
1293.456	1296.272	A	you can't i can't because there's a mountain there so i'm going .
1299.120	1300.273	A	so i'm going here .
1303.508	1306.519	A	it's expensive you just used 5 .
1307.266	1309.049	B	go , to mount gallen .
1310.052	1311.355	A	and i think we're done .
1312.300	1312.618	B	go .
1312.644	1314.321	A	i think we have more .
1313.977	1314.471	B	wait !
1315.263	1315.997	A	we're done .
1324.413	1326.539	A	can i show you how to do it ?
1325.131	1326.524	B	oh , i know !
1327.648	1327.947	B	wait .
1330.732	1335.420	B	27 29 30 31 32 33 34 .
1335.761	1339.118	A	what if we start in the middle and then go around it ?
1340.010	1340.281	B	wait .
1340.844	1343.477	B	(counting)
1343.477	1344.420	B	34 .
1344.688	1346.321	B	the minimum is 34 .
1348.268	1350.140	B	see we have to spend okay .
1350.185	1353.479	B	so do the circle , okay but do the circle , go .
1353.389	1354.498	A	okay (umm) .
1354.827	1357.583	B	mount , neuchatel , okay , over there .
1358.305	1360.312	B	then you have to make an (stutter)
1360.477	1361.433	B	okay , go .
1361.990	1363.533	B	to mount davos go to mount davos .
1364.370	1365.313	B	go to mount davos
1365.388	1368.039	A	what mount davos where is that oh okay  .
1368.249	1368.833	B	come on .
1370.748	1372.051	B	then i got to go here .
1372.231	1373.100	B	and then there .
1373.175	1373.834	A	sure .
1374.133	1374.957	B	and then go to basel .
1375.691	1378.192	A	that's really expensive it's 5 .
1377.564	1378.240	B	yeah .
1379.181	1380.993	B	you've got to make it expensive .
1382.624	1384.676	B	and go to neuchatel maybe .
1385.111	1389.439	A	yeah then but what about , oh yeah , and now go to mount interlaken .
1385.187	1385.980	B	or do something .
1389.927	1391.110	A	and then mount bern .
1391.709	1393.611	B	but we have to make it more expensive .
1395.184	1402.257	B	wait if i go to mount, mountreux , will you be able to go from mount interlaken to mount bern ?
1402.601	1404.399	A	wait what to mount where ?
1404.863	1405.237	B	here .
1405.896	1407.453	B	go to mount bern .
1409.699	1410.762	B	and mount luzern .
1411.241	1412.395	B	i think we got it .
1412.619	1413.503	B	ready .
1413.728	1415.061	A	set , go .
1414.327	1415.076	B	wait , no !
1415.852	1417.919	A	really , waiting for your friend .
1422.967	1424.989	A	see it has to be less .
1425.633	1426.472	B	oh !
1426.491	1427.824	A	you're away from the minimum
1429.933	1432.120	B	we're never gonna do it .
1436.284	1439.699	B	the one we're closest away from was 1 minimum .
1441.910	1442.464	B	yeah .
1444.299	1445.557	B	yeah that's
1445.879	1448.134	B	wait do you have the black board ?
1448.823	1449.750	B	your's is black ?
1449.886	1452.687	B	go now go to the i and go to the other side .
1452.987	1454.065	A	i already have it .
1454.424	1455.645	A	i'm in the black board .
1455.825	1457.053	B	yeah but go to
1456.394	1458.551	A	i think we should only spend less .
1459.675	1462.551	B	our less was the one that was a circle kinda .
1462.551	1464.063	A	no , it was
1465.150	1468.849	A	the one that we went from montreux to basel to bern .
1469.478	1473.193	A	to , interlaken and then from montreux to zermatt
1471.913	1476.077	B	okay let's do that , so i'm doing neuchatel to basel and to bern .
1475.044	1476.003	A	okay .
1479.141	1480.504	A	then it was
1481.807	1482.855	A	this .
1484.922	1485.836	A	and then
1484.967	1487.274	B	what was our most less expensive ?
1488.295	1490.751	B	no we had two that was 25 .
1503.673	1504.519	B	zurich maybe ?
1504.802	1505.895	A	no look .
1506.872	1507.213	A	here .
1507.902	1509.145	A	and then , here .
1509.535	1511.647	A	and then and now you go to zurich .
1513.761	1514.410	A	yeah .
1513.819	1514.388	B	submit ?
1516.005	1516.440	B	yes ?
1517.294	1518.567	A	yeah i already did .
1521.695	1523.687	B	oh , my gosh .
1524.690	1527.551	B	this is so annoying sometimes .
1527.708	1528.307	B	okay .
1528.607	1531.033	B	go , just do it , do anything .
1534.721	1536.186	B	i don't know what we did .
1536.850	1537.524	B	okay .
1546.653	1548.675	B	okay looks good , looks good .
1554.269	1555.228	A	i think we are done .
1557.250	1558.508	B	i'm waiting for your friend .
1558.808	1559.602	A	oh , okay .
1562.904	1564.222	A	(laughing)
1566.199	1568.715	B	i'm sorry buddy but we don't know how to do this .
1569.120	1570.168	A	goodbye .
1569.539	1570.423	B	i'm sorry .
1570.168	1658.027	A	(omitted)
1570.423	1658.027	B	(omitted)
